block,ts,pool,usd,tx
15920620,1667853923,XPR-USDT,324162243708.0,0x6a7dc6bb60af43354024d363ca61ab655040e24e56603fee430dc949ac14b600
15964908,1668388295,CIRUS-USDT,305946439864.2,0x1ec35591f74f357ca44e69381a73be1c1605bd1a61342919698d5a1c5b8637d5
15917748,1667819315,CIRUS-USDT,243949537326.1,0xacc4425b4d48179c3b7c7849baaf318ed167eb9aad8378e2b13d9e47a1489981
16015102,1668994079,USDT-BOTS,239805025302.9,0x0d75e237007b1f3ff985308dce770f64487cd3c794890ed0b075f9685d203f45
15822809,1666673303,XPR-USDT,229599312686.6,0x5ac173c2f7d15653147cde93da1d5f2d8c0926b7570b274922485b614b63cd00
16015107,1668994139,USDT-BOTS,199052395085.8,0x2fcbc531940aecd2a33bc52b5922b3e11a73217b2ecd19ae676f2e4555ba36fc
15880879,1667374511,CIRUS-USDT,106686586865.6,0x73221ea4c91532533446cd441a6d152eeb7b65d2f3a3ff91b5eaf0d1e0771c4a
15865210,1667185175,FEI-TRIBE,75188229917.4,0x5d69092e93abc720071f066ae89249d7ce6ecb673fc43f40ce600e2a72870e5a
15977261,1668537395,FEI-TRIBE,42538195404.4,0xefb951a3096ff70f85127129db1564664e89f1ccf0f123038b84646b0837e549
15920620,1667853923,XPR-USDT,37420254731.9,0xc0bf5d1ae98900123821a6617eef3192feceaa9cba548811534bc4183b3d5a96
15926248,1667921735,FEI-TRIBE,35648805176.0,0xb3223ef74c64ac7cee0262df8496237ad4f447da02679f7111aabe4ddd80a1af
16006145,1668886043,FEI-TRIBE,32081457621.5,0x1d0bda8bf0d5fb6679b66bff026fce2ed0662efb1e87e2bf2024218fe4cb7dcd
15822809,1666673303,XPR-USDT,27569340082.6,0x7dda3d02cae3aa9f216e7cede43a73a4d040137a2dd81bfe3619aca96a858b66
15944616,1668143651,CWEB-USDT,27337231340.8,0x066848e313024b8851bb0ac357a697d26aaf27d322f5bbdac64e6663ba433a65
15882644,1667395823,FEI-TRIBE,25894158520.7,0x4e2fb44f3c3d0062948d3f4dc56f6d52c01d720e2f42d0001f30b25986f84a58
15917748,1667819315,CIRUS-USDT,15177430283.4,0x9098a971837c38e0e56faf2c93f76b01894524d3b35b36044323ae582b388276
16015102,1668994079,USDT-BOTS,14754520600.1,0xdb8a64bbf51ced44733afc4c4b3ced83871e30989d978ac20109f5d84c8ab70e
15964908,1668388295,CIRUS-USDT,13872929963.3,0x70e060e376f8fdfe281bc4c7117aff2df885cfa729055cff6ec12a3dab63e3a5
15928049,1667943479,RAZOR-USDC,13072194845.9,0xf00d1b312a527aa31af6cdd878db96f12b8d8765c17b064da8e9897fe67c4dc6
16015107,1668994139,USDT-BOTS,13070518125.0,0x36a4d6d9db760fcc2df23c893614c092b8f2fcab598f540c93fcd189ae2b0195
15846083,1666954379,BLXM-USDC,7955186674.3,0xd1df2bf74acd09fc5e6492b1d615f77561327b2b56b19764b9b1b26e9c4a89a4
15934836,1668025547,CWEB-USDT,7619027053.8,0xea72e3f70d05c686440a605d471fd306c43f4923cddc427b04b97f550582a851
15880879,1667374511,CIRUS-USDT,7365774559.8,0xd8f52a61aecf60d51d0d08471ab5349d9d56fd5474de35ef3e446da6fe2f2010
15883538,1667406623,CWEB-USDT,7117877179.8,0x977528d0b55d44b42cf7f76dcc2a0a4a6f765188526de32de73ad3d460a63840
15966904,1668412355,CWEB-USDT,6041855762.4,0xbffd3681f8f409c16b9d3f310d1c150b63a21854710f8de348b4ba1fea3189e8
15929937,1667966279,BLXM-USDC,6025852033.2,0x9b7e2e404bd53ff8a4f6089127389fb9efe9be4beecacb8fb3b37a4e2926cd0d
15929934,1667966243,BLXM-USDC,4875143465.3,0xcf932816601f0a55bb6beb2344422526b361c10e37fc7c8413749e8b60ecf53c
15966490,1668407375,CWEB-USDT,3753216663.2,0x4026397be7c9165dd8ba7b64a19029515e08f1aaa221eeb3baea9e0ce3cf2092
15916667,1667806271,CWEB-USDT,3564401088.5,0x8f0c190b957469e0acf9eb83728ecb5db111b80d5e72820c6d3ebc3e1cdc31b3
15829090,1666749263,sUSD-DHT,3345584800.7,0x8c1887736e8ed12e621588b6a155e985a4c5b4dca8cfc3a45e6b18490dcf9460
15883538,1667406623,CWEB-USDT,2893648715.4,0x65ee49022b68022d451ff9caed934f4b1a3acc4342ae775a04cb1aca593354e5
15916667,1667806271,CWEB-USDT,2885906101.1,0x089b27e823242879d6d934a995032c7aad3203c05b7dc2e4d1d475a29f1e97bb
15944616,1668143651,CWEB-USDT,2800763414.2,0x029f8e678bd5421058856479d71a735af5e09105960e7b09699fd7cf8f1e5093
